C:\Nolek\Logs\2022-0772_C1_230227.csv;120 Bar;60 Liter;Room GR1.1
Log Time;StepNo;CircuitName;TMP1;TMP2;B31;B32;B21;B22;P101;RegulatorSP;RegulatorFB
27/02/2023 17.48.26;26000;R1.1;20,27;20,24;20,00758;19,70408;67,95897;61,78212;118,5897;66;0
27/02/2023 17.48.56;26000;R1.1;20,28;20,24;20,00758;19,70408;67,95897;61,73019;119,0783;66;0
27/02/2023 17.49.26;26000;R1.1;20,28;20,23;20,00758;19,70408;67,97626;61,6898;119,4945;66;0
27/02/2023 17.49.56;26000;R1.1;20,28;20,23;19,90909;19,70408;67,97626;61,64942;119,9468;66;0
27/02/2023 17.50.27;26000;R1.1;20,28;20,23;19,90909;19,70408;67,97626;61,60326;120,3992;66;0
27/02/2023 17.50.57;26000;R1.1;20,28;20,23;19,90909;19,70408;67,97626;61,5571;120,8787;66;0
27/02/2023 17.51.27;26000;R1.1;20,27;20,24;19,90909;19,70408;67,97626;61,51671;121,331;66;0
27/02/2023 17.51.57;26000;R1.1;20,27;20,24;19,90909;19,70408;67,98203;61,47633;121,7924;66;0
27/02/2023 17.52.27;26000;R1.1;20,27;20,24;19,90909;19,80357;67,98779;61,44171;123,2038;66;0
27/02/2023 17.52.57;26000;R1.1;20,27;20,24;19,90909;19,80357;67,98779;61,38978;125,4384;66;0
27/02/2023 17.53.27;26000;R1.1;20,27;20,25;19,90909;19,80357;67,99355;61,34939;127,4197;66;0
27/02/2023 17.53.58;26000;R1.1;20,27;20,25;19,90909;19,80357;67,99931;61,309;129,3468;66;0
27/02/2023 17.54.28;26000;R1.1;20,28;20,25;19,90909;19,80357;68,00508;61,25708;131,1653;66;0
27/02/2023 17.54.58;26000;R1.1;20,28;20,25;19,90909;19,80357;68,00508;61,22246;133,0199;66;0
27/02/2023 17.55.28;26000;R1.1;20,28;20,25;19,90909;19,80357;68,01084;61,1763;135,6255;66;0
27/02/2023 17.55.58;26000;R1.1;20,29;20,25;19,90909;19,80357;68,01661;61,13014;142,3927;66;0
27/02/2023 17.56.28;26000;R1.1;20,29;20,26;19,90909;19,80357;68,01661;61,08398;148,5629;66;0
27/02/2023 17.56.58;26000;R1.1;20,29;20,27;19,90909;19,80357;68,01084;61,05514;155,0497;66;0
27/02/2023 17.57.28;26000;R1.1;20,3;20,27;19,90909;19,80357;68,01661;60,9859;157,9719;66;0
27/02/2023 17.57.58;26000;R1.1;20,31;20,27;19,90909;19,80357;68,01661;60,93974;158,5871;66;0
27/02/2023 17.58.29;26000;R1.1;20,31;20,27;19,90909;19,80357;68,02237;60,87051;158,8947;66;0
27/02/2023 17.58.59;26000;R1.1;20,31;20,28;19,90909;19,90306;68,02237;60,80704;159,1118;66;0
27/02/2023 17.59.29;26000;R1.1;20,31;20,29;19,90909;19,90306;68,02237;60,77242;159,2837;66;0
27/02/2023 17.59.59;26000;R1.1;20,31;20,3;19,90909;19,90306;68,0339;60,70895;159,4375;66;0
27/02/2023 18.00.29;26000;R1.1;20,32;20,3;19,90909;19,90306;68,0339;60,64548;159,5461;66;0
27/02/2023 18.00.59;26000;R1.1;20,32;20,31;19,90909;19,90306;68,0339;60,59933;159,6547;66;0
27/02/2023 18.01.29;26000;R1.1;20,32;20,31;19,90909;19,90306;68,0339;60,56471;159,7451;66;0
27/02/2023 18.01.59;26000;R1.1;20,32;20,31;19,90909;19,90306;68,03967;60,50124;159,8447;66;0
27/02/2023 18.02.31;26000;R1.1;20,32;20,31;19,90909;19,90306;68,03967;60,45509;159,917;66;0
27/02/2023 18.03.00;26000;R1.1;20,33;20,32;19,90909;19,90306;68,05119;60,39739;160,0256;66;0
27/02/2023 18.03.30;26000;R1.1;20,33;20,32;19,90909;19,90306;68,05119;60,357;160,107;66;0
27/02/2023 18.04.01;26000;R1.1;20,33;20,33;19,90909;19,90306;68,05695;60,2993;160,1703;66;0
27/02/2023 18.04.31;26000;R1.1;20,33;20,33;19,90909;19,90306;68,05695;60,24738;160,2699;66;0
27/02/2023 18.05.01;26000;R1.1;20,33;20,33;19,90909;19,90306;68,05695;60,20122;160,3603;66;0
27/02/2023 18.05.31;26000;R1.1;20,33;20,32;19,90909;19,90306;68,05695;60,14352;160,2699;66;0
27/02/2023 18.06.01;26000;R1.1;20,33;20,32;19,90909;19,90306;68,05119;60,09736;160,2699;66;0
27/02/2023 18.06.31;26000;R1.1;20,33;20,33;19,90909;20,00255;68,05119;60,06852;160,3241;66;0
27/02/2023 18.07.01;26000;R1.1;20,33;20,33;19,90909;19,90306;68,05119;60,01659;160,3875;66;0
27/02/2023 18.07.31;26000;R1.1;20,33;20,33;19,90909;20,00255;68,05695;59,97043;160,4508;66;0
27/02/2023 18.08.01;26000;R1.1;20,33;20,33;19,90909;20,00255;68,05695;59,93581;160,478;66;0
27/02/2023 18.08.32;26000;R1.1;20,33;20,33;19,90909;20,00255;68,05695;59,88965;160,3241;66;0
27/02/2023 18.09.04;26000;R1.1;20,32;20,33;19,90909;20,00255;68,06272;59,84349;160,297;66;0
27/02/2023 18.09.34;26000;R1.1;20,32;20,33;19,90909;20,00255;68,06272;59,80311;160,3603;66;0
27/02/2023 18.10.04;26000;R1.1;20,32;20,32;19,90909;20,00255;68,06848;59,76272;160,4146;66;0
27/02/2023 18.10.34;26000;R1.1;20,31;20,32;19,90909;20,00255;68,06848;59,71656;160,478;66;0
27/02/2023 18.11.04;26000;R1.1;20,31;20,31;19,90909;20,00255;68,07425;59,67617;160,5413;66;0
27/02/2023 18.11.34;26000;R1.1;20,31;20,31;19,81061;20,00255;68,08002;59,63002;160,5865;66;0
27/02/2023 18.12.04;26000;R1.1;20,31;20,31;19,81061;20,00255;68,08002;59,5954;160,6317;66;0
27/02/2023 18.12.34;26000;R1.1;20,32;20,31;19,81061;20,00255;68,08002;59,56078;160,5684;66;0
27/02/2023 18.13.05;26000;R1.1;20,32;20,3;19,90909;20,00255;68,08578;59,52039;160,478;66;0
27/02/2023 18.13.35;26000;R1.1;20,32;20,3;19,90909;20,00255;68,08578;59,48577;160,3241;66;0
27/02/2023 18.14.05;26000;R1.1;20,31;20,3;19,81061;20,00255;68,09155;59,43385;160,1703;66;0
27/02/2023 18.14.35;26000;R1.1;20,31;20,3;19,90909;20,00255;68,08578;59,39346;160,1613;66;0
27/02/2023 18.15.05;26000;R1.1;20,31;20,3;19,81061;20,00255;68,09731;59,35884;160,2065;66;0
27/02/2023 18.15.35;26000;R1.1;20,3;20,3;19,81061;20,00255;68,09155;59,32422;160,2699;66;0
27/02/2023 18.16.05;26000;R1.1;20,3;20,3;19,81061;20,00255;68,09731;59,2896;160,3332;66;0
27/02/2023 18.16.35;26000;R1.1;20,3;20,3;19,81061;20,00255;68,09155;59,26075;160,4146;66;0
27/02/2023 18.17.06;26000;R1.1;20,3;20,3;19,90909;20,00255;68,09731;59,22614;160,487;66;0
27/02/2023 18.17.36;26000;R1.1;20,3;20,29;19,81061;20,00255;68,09731;59,19152;160,5684;66;0
27/02/2023 18.18.06;26000;R1.1;20,29;20,28;19,81061;20,00255;68,09731;59,1569;160,6317;66;0
27/02/2023 18.18.36;26000;R1.1;20,3;20,28;19,81061;20,00255;68,09731;59,12805;160,7222;66;0
27/02/2023 18.19.06;26000;R1.1;20,3;20,27;19,81061;20,00255;68,09731;59,08766;160,7946;66;0
27/02/2023 18.19.36;26000;R1.1;20,29;20,27;19,81061;20,00255;68,09731;59,05882;160,8489;66;0
27/02/2023 18.20.06;26000;R1.1;20,29;20,27;19,81061;20,00255;68,09731;59,0242;160,9122;66;0
27/02/2023 18.20.36;26000;R1.1;20,28;20,26;19,81061;20,00255;68,09731;59,01266;160,9755;66;0
27/02/2023 18.21.06;26000;R1.1;20,27;20,26;19,81061;20,10204;68,09731;58,98381;161,0027;66;0
27/02/2023 18.21.37;26000;R1.1;20,27;20,26;19,81061;20,10204;68,10307;58,94919;161,057;66;0
27/02/2023 18.22.07;26000;R1.1;20,26;20,26;19,81061;20,10204;68,10307;58,92611;161,1203;66;0
27/02/2023 18.22.37;26000;R1.1;20,26;20,25;19,81061;20,10204;68,10883;58,90303;161,1565;66;0
27/02/2023 18.23.07;26000;R1.1;20,26;20,25;19,81061;20,10204;68,1146;58,86264;161,256;66;0
27/02/2023 18.23.37;26000;R1.1;20,26;20,25;19,81061;20,10204;68,1146;58,83379;161,3193;66;0
27/02/2023 18.24.07;26000;R1.1;20,26;20,25;19,81061;20,10204;68,10883;58,81649;161,4279;66;0
27/02/2023 18.24.37;31200;R1.1;20,26;20,24;19,81061;19,10714;5,764119E-03;53,62374;161,5093;0;0
27/02/2023 18.25.08;34000;R1.1;20,24;20,19;19,81061;18,31122;53,92334;54,22379;156,7867;54;0
27/02/2023 18.25.38;34000;R1.1;20,22;20,12;19,81061;18,31122;54,01556;54,33919;157,1848;54;0
27/02/2023 18.26.08;34000;R1.1;20,22;20,09;19,71212;18,41071;54,02709;54,33919;157,3205;54;0
27/02/2023 18.26.38;34000;R1.1;20,23;20,09;19,71212;18,5102;54,01556;54,31611;157,411;54;0
27/02/2023 18.27.08;34000;R1.1;20,25;20,07;19,71212;18,60969;53,96945;54,29303;157,5014;54;0
27/02/2023 18.27.38;34000;R1.1;20,24;20,06;19,71212;18,70918;53,9291;54,22956;157,61;54;0
27/02/2023 18.28.08;34000;R1.1;20,23;20,05;19,71212;18,80867;53,89452;54,19494;157,7276;54;0
27/02/2023 18.28.38;34000;R1.1;20,23;20,05;19,61364;18,90816;53,8484;54,15456;157,3024;54;0
27/02/2023 18.29.08;34000;R1.1;20,22;20,06;19,61364;19,00765;53,79652;54,1084;157,4562;54;0
27/02/2023 18.29.39;34000;R1.1;20,2;20,07;19,61364;19,00765;53,74465;54,06801;157,5467;54;0
27/02/2023 18.30.09;34000;R1.1;20,2;20,08;19,61364;19,10714;53,69854;54,01608;157,6643;54;0
27/02/2023 18.30.39;34000;R1.1;20,2;20,09;19,61364;19,10714;53,64666;53,96415;157,7548;54;0
27/02/2023 18.31.08;34000;R1.1;20,19;20,09;19,61364;19,20663;53,61207;53,92953;157,8814;54;0
27/02/2023 18.31.39;34000;R1.1;20,19;20,1;19,61364;19,20663;53,56596;53,88338;157,999;54;0
27/02/2023 18.32.09;34000;R1.1;20,2;20,1;19,61364;19,30612;53,51985;53,83722;158,0986;54;0
27/02/2023 18.32.39;34000;R1.1;20,22;20,11;19,61364;19,30612;53,46797;53,77953;158,1981;54;0
27/02/2023 18.33.10;34000;R1.1;20,23;20,11;19,61364;19,40561;53,42186;53,73337;158,3066;54;0
27/02/2023 18.33.40;34000;R1.1;20,24;20,12;19,61364;19,40561;53,36998;53,6699;158,4152;54;0
27/02/2023 18.34.10;34000;R1.1;20,26;20,12;19,61364;19,40561;53,32963;53,62374;158,5238;54;0
27/02/2023 18.34.40;34500;R1.1;20,26;20,12;19,61364;19,5051;6,916943E-02;53,58335;158,6323;0;0
27/02/2023 18.35.10;34500;R1.1;20,27;20,13;19,61364;19,5051;0;53,54874;158,7318;0;0
27/02/2023 18.35.40;35000;R1.1;20,27;20,13;19,61364;19,5051;5,764119E-03;53,50835;158,8585;0;0
27/02/2023 18.36.10;35000;R1.1;20,28;20,13;19,61364;19,5051;5,764119E-03;53,45065;158,958;0;0
27/02/2023 18.36.40;36000;R1.1;20,26;20,13;19,61364;19,5051;53,49103;53,40449;158,759;54;0
27/02/2023 18.37.11;36000;R1.1;20,26;20,14;19,61364;19,5051;53,7677;53,37564;158,3428;54;0
27/02/2023 18.37.41;36000;R1.1;20,26;20,14;19,61364;19,60459;53,7677;53,32372;158,4876;54;0
27/02/2023 18.38.11;36000;R1.1;20,27;20,15;19,61364;19,60459;53,7677;53,28333;158,578;54;0
27/02/2023 18.38.41;36000;R1.1;20,26;20,15;19,61364;19,60459;53,7677;53,23717;158,7047;54;0
27/02/2023 18.39.11;36000;R1.1;20,24;20,15;19,61364;19,60459;53,7677;53,18524;158,8133;54;0
27/02/2023 18.39.43;36000;R1.1;20,26;20,15;19,61364;19,60459;53,7677;53,14486;158,9218;54;0
27/02/2023 18.40.12;36000;R1.1;20,25;20,14;19,61364;19,60459;53,7677;53,10447;159,0123;54;0
27/02/2023 18.40.42;41100;R1.1;20,22;20,14;19,61364;19,60459;53,7677;53,05254;158,8495;54;0
27/02/2023 18.41.12;44000;R1.1;20,23;20,14;19,61364;19,60459;53,85417;54,15456;137,0097;54;0
27/02/2023 18.41.42;44000;R1.1;20,24;20,14;19,61364;19,60459;53,72159;54,03339;141,099;54;0
27/02/2023 18.42.12;44000;R1.1;20,22;20,14;19,71212;19,70408;53,64666;53,97569;141,7685;54;0
27/02/2023 18.42.44;44000;R1.1;20,21;20,14;19,71212;19,70408;53,61784;53,92953;142,1937;54;0
27/02/2023 18.43.15;44000;R1.1;20,21;20,13;19,71212;19,70408;53,60054;53,918;142,3475;54;0
27/02/2023 18.43.45;44000;R1.1;20,22;20,13;19,71212;19,70408;53,57172;53,88915;142,5103;54;0
27/02/2023 18.44.15;44000;R1.1;20,21;20,13;19,71212;19,70408;53,55443;53,88338;142,6642;54;0
27/02/2023 18.44.45;44000;R1.1;20,22;20,13;19,71212;19,70408;53,5429;53,85453;142,5918;54;0
27/02/2023 18.45.15;44000;R1.1;20,2;20,12;19,71212;19,70408;53,53138;53,83722;142,5284;54;0
27/02/2023 18.45.45;44000;R1.1;20,18;20,12;19,71212;19,70408;53,51985;53,81991;142,5013;54;0
27/02/2023 18.46.15;44000;R1.1;20,17;20,12;19,71212;19,80357;53,50832;53,82568;142,4742;54;0
27/02/2023 18.46.45;44000;R1.1;20,16;20,12;19,71212;19,80357;53,48526;53,8026;142,4018;54;0
27/02/2023 18.47.15;44000;R1.1;20,17;20,11;19,71212;19,80357;53,48526;53,79683;142,3656;54;0
27/02/2023 18.47.46;44000;R1.1;20,19;20,11;19,71212;19,80357;53,47374;53,79683;142,2932;54;0
27/02/2023 18.48.16;44000;R1.1;20,2;20,11;19,71212;19,80357;53,45068;53,77953;142,248;54;0
27/02/2023 18.48.48;44000;R1.1;20,22;20,11;19,71212;19,80357;53,45068;53,76221;142,1575;54;0
27/02/2023 18.49.18;44000;R1.1;20,23;20,11;19,71212;19,80357;53,45068;53,75068;142,0128;54;0
27/02/2023 18.49.48;44000;R1.1;20,24;20,12;19,71212;19,80357;53,43915;53,75645;141,7775;54;0
27/02/2023 18.50.18;44000;R1.1;20,24;20,12;19,71212;19,80357;53,45068;53,76221;141,5423;54;0
27/02/2023 18.50.48;44000;R1.1;20,25;20,12;19,71212;19,80357;53,44492;53,75645;141,3795;54;0
27/02/2023 18.51.18;44000;R1.1;20,26;20,12;19,71212;19,90306;53,44492;53,76221;141,1985;54;0
27/02/2023 18.51.52;44000;R1.1;20,26;20,13;19,71212;19,90306;53,44492;53,75068;140,9995;54;0
27/02/2023 18.52.19;44000;R1.1;20,27;20,14;19,71212;19,90306;53,43915;53,75645;140,9;54;0
27/02/2023 18.52.49;44000;R1.1;20,28;20,14;19,71212;19,90306;53,43339;53,74491;140,8095;54;0
27/02/2023 18.53.19;44000;R1.1;20,28;20,14;19,71212;19,90306;53,43915;53,75068;142,4018;54;0
27/02/2023 18.53.49;44000;R1.1;20,29;20,15;19,71212;19,90306;53,43915;53,75645;146,1563;54;0
27/02/2023 18.54.19;44000;R1.1;20,29;20,15;19,71212;19,90306;53,43339;53,75068;149,3047;54;0
27/02/2023 18.54.49;44000;R1.1;20,3;20,16;19,71212;19,90306;53,42762;53,74491;151,5032;54;0
27/02/2023 18.55.23;44000;R1.1;20,3;20,16;19,71212;19,90306;53,42186;53,74491;153,2674;54;0
27/02/2023 18.55.51;44000;R1.1;20,31;20,16;19,71212;19,90306;53,41609;53,74491;155,3573;54;0
27/02/2023 18.56.21;44000;R1.1;20,32;20,16;19,71212;19,90306;53,41033;53,7276;156,3344;54;0
27/02/2023 18.56.51;44000;R1.1;20,32;20,15;19,71212;19,90306;53,41033;53,72183;156,8501;54;0
27/02/2023 18.57.21;44000;R1.1;20,32;20,15;19,71212;19,90306;53,40456;53,71029;156,8862;54;0
27/02/2023 18.57.51;44000;R1.1;20,32;20,15;19,71212;19,90306;53,38151;53,71029;156,8501;54;0
27/02/2023 18.58.21;44000;R1.1;20,32;20,15;19,71212;19,90306;53,36998;53,69875;156,7958;54;0
27/02/2023 18.58.52;44000;R1.1;20,32;20,14;19,71212;19,90306;53,36998;53,68144;156,7777;54;0
27/02/2023 18.59.25;44000;R1.1;20,31;20,14;19,71212;19,90306;53,36422;53,67567;156,8139;54;0
27/02/2023 18.59.55;44000;R1.1;20,31;20,14;19,71212;19,90306;53,34692;53,65836;156,8501;54;0
27/02/2023 19.00.25;44000;R1.1;20,3;20,14;19,71212;19,90306;53,3354;53,64682;156,8139;54;0
27/02/2023 19.00.55;44000;R1.1;20,31;20,14;19,71212;19,90306;53,32963;53,63528;156,8501;54;0
27/02/2023 19.01.25;44000;R1.1;20,29;20,13;19,71212;19,90306;53,32387;53,62951;156,8681;54;0
27/02/2023 19.01.55;44000;R1.1;20,27;20,13;19,71212;19,90306;53,31234;53,62374;156,8501;54;0
27/02/2023 19.02.25;44000;R1.1;20,26;20,13;19,71212;20,00255;53,30081;53,61797;156,8591;54;0
27/02/2023 19.02.55;44000;R1.1;20,24;20,12;19,71212;19,90306;53,29505;53,60066;156,4882;54;0
27/02/2023 19.03.26;44000;R1.1;20,22;20,12;19,71212;19,90306;53,29505;53,58335;155,7192;54;0
27/02/2023 19.03.56;44000;R1.1;20,22;20,12;19,71212;20,00255;53,27776;53,59489;154,9592;54;0
27/02/2023 19.04.26;44000;R1.1;20,23;20,11;19,71212;20,00255;53,26623;53,59489;154,1631;54;0
27/02/2023 19.04.56;44000;R1.1;20,23;20,11;19,71212;20,00255;53,2547;53,57758;153,3669;54;0
27/02/2023 19.05.26;44000;R1.1;20,22;20,11;19,71212;20,00255;53,24317;53,56028;152,5798;54;0
27/02/2023 19.05.57;44000;R1.1;20,21;20,1;19,71212;20,00255;53,23164;53,54874;151,7746;54;0
27/02/2023 19.06.27;44000;R1.1;20,22;20,1;19,71212;20,00255;53,23741;53,54874;150,9875;54;0
27/02/2023 19.06.57;44000;R1.1;20,24;20,1;19,71212;20,00255;53,22588;53,54874;150,1914;54;0
27/02/2023 19.07.27;44000;R1.1;20,25;20,1;19,71212;20,00255;53,20858;53,53143;149,4314;54;0
27/02/2023 19.07.57;44000;R1.1;20,24;20,09;19,71212;20,00255;53,20858;53,54296;149,7661;54;0
27/02/2023 19.08.27;44000;R1.1;20,24;20,09;19,71212;20,00255;53,20282;53,51989;153,1226;54;0
27/02/2023 19.08.57;44000;R1.1;20,23;20,08;19,71212;20,00255;53,19706;53,52566;154,7421;54;0
27/02/2023 19.09.28;44000;R1.1;20,21;20,08;19,71212;20,00255;53,19129;53,51412;155,5111;54;0
27/02/2023 19.10.00;44000;R1.1;20,18;20,08;19,71212;20,00255;53,19129;53,51412;155,6649;54;0
27/02/2023 19.10.30;44000;R1.1;20,18;20,08;19,81061;20,00255;53,19129;53,51989;155,6287;54;0
27/02/2023 19.11.00;44000;R1.1;20,2;20,08;19,71212;20,00255;53,19129;53,50258;155,5201;54;0
27/02/2023 19.11.30;44000;R1.1;20,2;20,08;19,71212;20,00255;53,19706;53,50835;155,4206;54;0
27/02/2023 19.12.00;44000;R1.1;20,2;20,08;19,81061;20,00255;53,18553;53,50835;155,2578;54;0
27/02/2023 19.12.30;44000;R1.1;20,21;20,09;19,81061;20,00255;53,18553;53,50835;155,0406;54;0
27/02/2023 19.13.02;44000;R1.1;20,22;20,1;19,71212;20,00255;53,17976;53,50835;154,7421;54;0
27/02/2023 19.13.31;44000;R1.1;20,23;20,11;19,81061;20,00255;53,18553;53,49104;154,3802;54;0
27/02/2023 19.14.01;44000;R1.1;20,25;20,12;19,81061;20,00255;53,17976;53,48527;153,9459;54;0
27/02/2023 19.14.31;44000;R1.1;20,26;20,13;19,81061;20,00255;53,16824;53,49681;153,4664;54;0
27/02/2023 19.15.01;44000;R1.1;20,27;20,13;19,81061;20,00255;53,16824;53,4795;152,996;54;0
27/02/2023 19.15.31;44000;R1.1;20,28;20,14;19,81061;20,00255;53,16824;53,4795;152,625;54;0
27/02/2023 19.16.01;44000;R1.1;20,29;20,15;19,81061;20,00255;53,16247;53,47373;152,3446;54;0
27/02/2023 19.16.31;44000;R1.1;20,3;20,15;19,81061;20,00255;53,16247;53,48527;152,1184;54;0
27/02/2023 19.17.01;44000;R1.1;20,3;20,15;19,81061;20,00255;53,15671;53,4795;151,9736;54;0
27/02/2023 19.17.32;44000;R1.1;20,31;20,15;19,81061;20,00255;53,15094;53,47373;151,847;54;0
27/02/2023 19.18.02;44000;R1.1;20,31;20,15;19,81061;20,00255;53,15094;53,48527;151,7475;54;0
27/02/2023 19.18.32;44000;R1.1;20,31;20,14;19,81061;20,00255;53,15094;53,4795;151,6118;54;0
27/02/2023 19.19.02;44000;R1.1;20,3;20,14;19,81061;20,00255;53,15671;53,46796;151,4399;54;0
27/02/2023 19.19.34;44000;R1.1;20,3;20,13;19,81061;20,00255;53,16247;53,49104;151,2861;54;0
27/02/2023 19.20.04;44000;R1.1;20,3;20,13;19,81061;20,00255;53,16247;53,49104;151,1685;54;0
27/02/2023 19.20.34;44000;R1.1;20,3;20,12;19,81061;20,00255;53,16824;53,49104;151,0599;54;0
27/02/2023 19.21.04;44000;R1.1;20,29;20,12;19,81061;20,00255;53,16824;53,50258;150,9242;54;0
27/02/2023 19.21.34;44000;R1.1;20,28;20,11;19,81061;20,00255;53,17976;53,49681;150,8066;54;0
27/02/2023 19.22.04;44000;R1.1;20,28;20,1;19,81061;20,00255;53,17976;53,50258;150,707;54;0
27/02/2023 19.22.35;44000;R1.1;20,28;20,09;19,81061;20,00255;53,19129;53,50258;150,5985;54;0
27/02/2023 19.23.06;44000;R1.1;20,28;20,07;19,81061;20,00255;53,19129;53,50258;150,4628;54;0
27/02/2023 19.23.36;44000;R1.1;20,28;20,06;19,81061;20,00255;53,19129;53,51412;150,3452;54;0
27/02/2023 19.24.06;44000;R1.1;20,27;20,05;19,81061;20,00255;53,19129;53,51412;150,2185;54;0
27/02/2023 19.24.36;44000;R1.1;20,25;20,04;19,81061;20,00255;53,20282;53,52566;150,128;54;0
27/02/2023 19.25.06;44000;R1.1;20,25;20,04;19,81061;20,00255;53,21435;53,5372;150,0195;54;0
27/02/2023 19.25.36;44000;R1.1;20,24;20,04;19,81061;20,00255;53,23164;53,5545;149,8928;54;0
27/02/2023 19.26.06;44000;R1.1;20,21;20,05;19,81061;20,00255;53,23164;53,54874;149,8204;54;0
27/02/2023 19.26.36;44000;R1.1;20,21;20,06;19,81061;20,00255;53,23741;53,5545;149,7299;54;0
27/02/2023 19.27.07;44000;R1.1;20,2;20,06;19,81061;20,00255;53,23164;53,56028;149,6395;54;0
27/02/2023 19.27.37;44000;R1.1;20,2;20,05;19,81061;20,00255;53,23164;53,56028;149,5219;54;0
27/02/2023 19.28.07;44000;R1.1;20,22;20,04;19,81061;20,00255;53,24317;53,56604;149,4223;54;0
27/02/2023 19.28.37;44000;R1.1;20,2;20,04;19,81061;20,00255;53,24894;53,56604;149,3228;54;0
27/02/2023 19.29.07;44000;R1.1;20,19;20,04;19,81061;20,00255;53,2547;53,57182;149,2052;54;0
27/02/2023 19.29.37;44000;R1.1;20,2;20,04;19,81061;20,00255;53,27199;53,58335;149,0967;54;0
27/02/2023 19.30.07;44000;R1.1;20,2;20,03;19,81061;20,00255;53,27776;53,57758;149,0152;54;0
27/02/2023 19.30.37;44000;R1.1;20,18;20,03;19,81061;20,00255;53,27776;53,58912;148,9067;54;0
27/02/2023 19.31.08;44000;R1.1;20,17;20,03;19,81061;20,00255;53,28352;53,58335;148,8071;54;0
27/02/2023 19.31.38;44000;R1.1;20,17;20,04;19,81061;20,00255;53,28352;53,60066;148,7257;54;0
27/02/2023 19.32.08;44000;R1.1;20,18;20,04;19,81061;20,00255;53,29505;53,60066;148,6081;54;0
27/02/2023 19.32.38;44000;R1.1;20,19;20,05;19,81061;20,00255;53,29505;53,59489;148,4905;54;0
27/02/2023 19.33.09;44000;R1.1;20,18;20,05;19,81061;20,00255;53,29505;53,60066;148,4181;54;0
27/02/2023 19.33.39;44000;R1.1;20,19;20,06;19,81061;20,00255;53,29505;53,60643;148,3277;54;0
27/02/2023 19.34.09;44000;R1.1;20,2;20,06;19,81061;20,00255;53,29505;53,62374;148,2372;54;0
27/02/2023 19.34.39;44000;R1.1;20,21;20,06;19,81061;20,00255;53,29505;53,61797;148,1558;54;0
27/02/2023 19.35.09;44000;R1.1;20,22;20,07;19,81061;20,00255;53,30081;53,62374;148,0653;54;0
27/02/2023 19.35.39;44000;R1.1;20,23;20,07;19,81061;20,00255;53,30081;53,61797;147,9658;54;0
27/02/2023 19.36.09;44000;R1.1;20,24;20,07;19,81061;20,00255;53,30658;53,63528;147,8662;54;0
27/02/2023 19.36.39;44000;R1.1;20,24;20,07;19,81061;20,00255;53,3181;53,62951;147,7486;54;0
27/02/2023 19.37.11;44000;R1.1;20,25;20,06;19,81061;20,00255;53,3181;53,62951;147,6491;54;0
27/02/2023 19.37.40;44000;R1.1;20,26;20,07;19,81061;20,00255;53,32387;53,63528;147,5586;54;0
27/02/2023 19.38.10;44000;R1.1;20,26;20,07;19,81061;20,00255;53,32387;53,63528;147,4501;54;0
27/02/2023 19.38.40;44000;R1.1;20,25;20,08;19,81061;20,00255;53,32387;53,64105;147,3687;54;0
27/02/2023 19.39.10;44000;R1.1;20,23;20,07;19,81061;20,00255;53,32963;53,62951;147,2963;54;0
27/02/2023 19.39.40;44000;R1.1;20,23;20,06;19,81061;20,00255;53,32963;53,63528;147,2058;54;0
27/02/2023 19.40.10;44000;R1.1;20,23;20,06;19,81061;20,00255;53,32963;53,64105;147,0791;54;0
27/02/2023 19.40.40;44000;R1.1;20,24;20,05;19,81061;20,00255;53,32963;53,65259;147,0068;54;0
27/02/2023 19.41.10;44000;R1.1;20,22;20,04;19,81061;20,00255;53,32963;53,64105;146,9254;54;0
27/02/2023 19.41.45;44000;R1.1;20,23;20,04;19,81061;20,00255;53,32963;53,64105;146,8168;54;0
27/02/2023 19.42.11;44000;R1.1;20,24;20,03;19,81061;20,00255;53,32963;53,65836;146,7173;54;0
27/02/2023 19.42.41;44000;R1.1;20,22;20,01;19,81061;20,00255;53,32963;53,65259;146,6178;54;0
27/02/2023 19.43.11;44000;R1.1;20,2;20,01;19,81061;20,00255;53,32963;53,65836;146,5092;54;0
27/02/2023 19.43.41;44000;R1.1;20,2;20,01;19,81061;20,00255;53,3354;53,65259;146,4097;54;0
27/02/2023 19.44.11;44000;R1.1;20,22;20,01;19,81061;20,00255;53,34116;53,65259;146,283;54;0
27/02/2023 19.44.41;44000;R1.1;20,21;20,01;19,81061;20,00255;53,34692;53,65836;146,1744;54;0
27/02/2023 19.45.11;44000;R1.1;20,18;20;19,81061;20,00255;53,34692;53,66413;146,0749;54;0
27/02/2023 19.45.42;44000;R1.1;20,16;19,99;19,81061;20,00255;53,34116;53,66413;145,9664;54;0
27/02/2023 19.46.12;44000;R1.1;20,15;19,98;19,81061;20,00255;53,34692;53,65836;145,8306;54;0
27/02/2023 19.46.42;44000;R1.1;20,15;19,97;19,81061;20,00255;53,35269;53,66413;145,6859;54;0
27/02/2023 19.47.12;44000;R1.1;20,16;19,97;19,90909;20,00255;53,35269;53,66413;145,5683;54;0
27/02/2023 19.47.42;44000;R1.1;20,14;19,97;19,81061;20,00255;53,36422;53,6699;145,4326;54;0
27/02/2023 19.48.12;44000;R1.1;20,12;19,96;19,81061;20,00255;53,35269;53,6699;145,315;54;0
